VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
2.5,1107,2.75,1.125,0.2,0.4,1500,2.25,,0.2,3705,25,,
4,1107,4.25,1.375,0.25,0.5,1500,3.62,,0.2,3705,25,,
5,1107,5.5,1.75,0.25,0.5,2500,4.37,,0.2,3705,25,,
6,1107,6.25,1.75,0.25,0.5,2500,5.37,,0.2,3705,25,,
8,1107,8.125,2.125,0.25,0.5,2500,7,,0.2,3705,25,,
10,1107,10,2.5,0.25,0.5,2500,8.75,,0.2,3705,25,,
12,1107,11.5,2.75,0.25,0.5,4000,10.37,,0.2,3705,25,,
14,1107,12.5,3,0.25,0.5,4000,11.37,,0.2,3705,25,,
16,1107,16,3,0.25,0.5,4000,13,,0.2,3705,25,,
20,1107,18,3.5,0.25,0.5,4000,16.37,,0.2,3705,25,,
24,1107,21,4,0.25,0.5,4000,19.65,,0.2,3705,25,,
2,1603,2.5,0.75,0.17,0.33,1000,2,,0.3,1480,25,,
2.5,1603,3,0.875,0.17,0.33,1000,2.5,,0.3,1480,25,,
3,1603,3.75,1,0.2,0.4,1000,3,,0.3,1480,25,,
4,1603,4.75,1.125,0.166666667,0.33333333,1500,4,,0.3,1480,25,,
5,1603,5.75,1.5,0.25,0.5,1500,5,,0.3,1480,25,,
6,1603,6.75,1.5,0.25,0.5,1500,6,,0.3,1480,25,,
8,1603,7.75,1.625,0.25,0.5,2500,7.87,,0.3,1480,25,,
12,1603,12.75,2,0.25,0.5,2500,11.75,,0.3,1480,25,,
14,1603,14,2.25,0.25,0.5,2500,12.87,,0.3,1480,25,,
16,1603,16,2.375,0.25,0.5,2500,14.75,,0.3,1480,25,,
18,1603,17.75,2.5,0.25,0.5,2500,16.5,,0.3,1480,25,,
24,1603,23,3,0.25,0.5,4000,22,,0.3,1480,25,,
2,1607,2.5,0.75,0.17,0.33,1000,2,,0.2,1480,25,,
2.5,1607,3,0.875,0.17,0.33,1000,2.5,,0.2,1480,25,,
3,1607,3.75,1,0.2,0.4,1000,3,,0.2,1480,25,,
4,1607,4.75,1.125,0.166666667,0.33333333,1500,4,,0.2,1480,25,,
5,1607,5.75,1.5,0.25,0.5,1500,5,,0.2,1480,25,,
6,1607,6.75,1.5,0.25,0.5,1500,6,,0.2,1480,25,,
8,1607,7.75,1.625,0.25,0.5,2500,7.87,,0.2,1480,25,,
12,1607,12.75,2,0.25,0.5,2500,11.75,,0.2,1480,25,,
14,1607,14,2.25,0.25,0.5,2500,12.87,,0.2,1480,25,,
16,1607,16,2.375,0.25,0.5,2500,14.75,,0.2,1480,22,,
18,1607,17.75,2.5,0.25,0.5,2500,16.5,,0.2,1480,25,,
24,1607,23,3,0.25,0.5,4000,22,,0.2,1480,25,,
2,1903,2.5,1,0.2,0.4,1000,1.87,,0.3,2220,25,,
2.5,1903,3,1.125,0.2,0.4,1500,2.25,,0.3,2220,25,,
3,1903,3.5,1.125,0.2,0.4,1500,2.87,,0.3,2220,25,,
4,1903,4.5,1.25,0.2,0.4,1500,3.87,,0.3,2220,25,,
5,1903,5.5,1.625,0.25,0.5,2500,4.75,,0.3,2220,25,,
6,1903,6.75,1.625,0.25,0.5,2500,5.75,,0.3,2220,25,,
14,1903,13.75,2.375,0.25,0.5,2500,12.25,,0.3,2220,25,,
20,1903,19,3,0.25,0.5,4000,17.5,,0.3,2220,25,,
2,1907,2.5,1,0.2,0.4,1000,1.87,,0.2,2220,25,,
2.5,1907,3,1.125,0.2,0.4,1500,2.25,,0.2,2220,25,,
3,1907,3.5,1.125,0.2,0.4,1500,2.87,,0.2,2220,25,,
4,1907,4.5,1.25,0.2,0.4,1500,3.87,,0.2,2220,25,,
5,1907,5.5,1.625,0.25,0.5,2500,4.75,,0.2,2220,25,,
8,1907,9,1.875,0.25,0.5,2500,7.5,,0.2,2220,25,,
10,1907,10.25,2.125,0.25,0.5,2500,9.37,,0.2,2220,25,,
12,1907,12.5,2.25,0.25,0.5,2500,11.12,,0.2,2220,25,,
14,1907,13.75,2.375,0.25,0.5,2500,12.25,,0.2,2220,25,,
16,1907,15.5,2.5,0.25,0.5,2500,14,,0.2,2220,25,,
18,1907,18.43,3,0.25,0.5,4000,15.75,,0.2,2220,25,,
2,1203,2.25,1,0.2,0.2,1000,1.5,,0.3,6170,25,,
